   ,ID,SPNAME,COLLID,OCCUR,CP_CPU_SU,CPU_TIME,ELAPS_TIME,LOCK_LATCH,SQL_STMT_AVG,SQL_STMT_TOTAL,SUSPEND,SYNCIO,TOTAL_SUSPENSIONS_AVG,LOCK_REQUEST_AVG,GETPAGES_AVG,SYNCH_READ_AVG,SELECT_AVG,INSERT_AVG,UPDATE_AVG,DELETE_AVG,   
122,147852,sp122,CORPK132,32,229.59,0.008428,0.021036,0.00262,35.16,1125,0.012316,0.007029,0,38,298,1,13,1,3,0,   
123,147853,sp123,CORPK132,72,225.78,0.008289,0.018335,0.006465,38.46,2769,0.009762,0.000482,0,43,209,0,12,1,1,0,   
124,144001,sp124,CORPK003,9,224.44,0.008242,0.067476,0.001353,115.33,1038,0.059263,0.050486,1,50,283,6,46,4,2,0,   
125,143713,sp125,CORPK001,70442,223.18,0.008192,0.060916,0.037272,96.17,6774356,0.052745,0.007657,5,79,325,2,64,3,2,0,   
126,147851,sp126,CORPK132,2,223,0.008184,0.089502,0.001987,26,52,0.081338,0.02263,2,45,225,6,17,2,0,1,   
127,145814,sp127,CORPK034,85,222.12,0.008156,0.062153,0.002008,75.31,6401,0.054063,0.043917,1,53,268,8,54,4,2,0,   
128,143698,sp128,CORPK001,54,221.74,0.008139,0.037034,0.002428,41.33,2232,0.028925,0.015782,1,58,250,3,24,3,0,0,   
129,147868,sp129,CORPK132,64,220.92,0.008109,0.01349,0.004349,115.7,7405,0.004804,0.000276,1,31,198,0,15,1,0,0,   
130,145687,sp130,CORPK033,1098,219.97,0.008075,0.036181,0.002322,85.94,94360,0.028063,0.01812,3,56,255,1,38,3,1,0,   
131,148417,sp131,CORPK146,57,218.91,0.008036,0.012385,0.00257,44.58,2541,0.004261,0.000058,1,42,184,0,18,1,0,0,   
132,145927,sp132,CORPK036,2,218,0.008001,0.085634,0.000982,76,152,0.077902,0.064066,0,57,231,17,31,3,2,0,   
133,145811,sp133,CORPK034,245,217.58,0.007987,0.047518,0.002238,52.64,12897,0.039667,0.033133,0,53,267,6,16,5,5,0,   
134,147279,sp134,CORPK111,4021,216.29,0.00794,0.011242,0.001155,43.95,176715,0.003166,0.000379,0,54,316,0,18,0,3,0,   
135,146443,sp135,CORPK043,12,214.75,0.007879,0.026966,0.00177,40.67,488,0.019062,0.009553,1,47,216,2,20,2,1,0,   
136,143704,sp136,CORPK001,211,214.04,0.007858,0.024509,0.002383,42.11,8885,0.016522,0.007417,1,36,212,2,23,2,1,0,   
137,146305,sp137,CORPK041,2161,208.95,0.007671,0.025592,0.002883,50.37,108849,0.01777,0.010742,1,47,233,2,30,0,0,0,   
138,143877,sp138,CORPK002,56,207.41,0.007615,0.022252,0.00174,51.21,2868,0.014559,0.006062,2,50,228,1,31,2,0,0,   
139,143847,sp139,CORPK002,8431,204.03,0.007491,0.031419,0.001952,43.91,370188,0.02393,0.017778,1,44,242,5,20,3,1,0,   
140,146494,sp140,CORPK044,4,204,0.00749,0.015787,0.000215,23,92,0.008232,0.001851,0,24,355,0,2,21,0,0,   
141,146493,sp141,CORPK044,9,202.67,0.007444,0.017962,0.001775,78.33,705,0.010477,0.001835,1,49,296,0,54,19,0,0,   
142,144264,sp142,CORPK007,601,198.66,0.007295,0.019106,0.002389,39.72,23871,0.011751,0.000692,1,60,162,0,25,0,0,0,   
143,143981,sp143,CORPK003,26,198.12,0.007274,0.031778,0.003945,58.12,1511,0.024587,0.013379,2,52,247,4,31,2,1,0,   
144,143984,sp144,CORPK003,2,198,0.007272,0.071014,0.00055,25,50,0.063896,0.050296,1,38,157,12,9,1,0,0,   
145,145379,sp145,CORPK025,20774,197.6,0.007255,0.018686,0.003314,72.89,1514294,0.011114,0.00409,2,38,173,1,25,2,0,0,   
146,146023,sp146,CORPK038,23,196.96,0.007234,0.030391,0.000956,41.35,951,0.023197,0.018937,1,48,266,5,17,2,1,0,   
147,145459,sp147,CORPK030,9,196.89,0.007223,0.054335,0.000234,16,144,0.047303,0.008219,0,13,741,7,4,1,0,0,   
148,144908,sp148,CORPK020,100,196.32,0.007209,0.015188,0.00084,94.09,9409,0.007936,0.003328,1,52,368,1,65,3,2,0,   
149,144373,sp149,CORPK008,15,195.93,0.007192,0.025439,0.001852,47.2,708,0.018259,0.010518,1,54,231,3,33,3,2,0,   
150,147850,sp150,CORPK132,10,195.2,0.007166,0.044057,0.007126,24.6,246,0.038891,0.027127,1,55,206,6,12,0,4,0,   
151,146020,sp151,CORPK038,663,194.61,0.007145,0.052984,0.001769,37.26,24706,0.045984,0.038735,0,54,254,10,11,7,3,0,   
152,146855,sp152,CORPK102,1,194,0.007115,0.033337,0.006959,28,28,0.026311,0.017457,4,34,162,3,13,2,0,0,   
153,144131,sp153,CORPK005,111,193.66,0.007113,0.038635,0.002472,46.62,5175,0.03159,0.019842,1,48,243,5,32,3,2,0,   
154,144463,sp154,CORPK009,1,192,0.007054,0.041838,0.002307,46,46,0.034872,0.018947,2,34,172,4,21,1,0,0,   
155,145810,sp155,CORPK034,28,192.07,0.007052,0.035059,0.002045,45.43,1272,0.028047,0.020338,1,58,237,3,19,4,1,0,   
156,148413,sp156,CORPK146,78,190.54,0.006998,0.011597,0.003045,39.91,3113,0.004348,0,1,36,165,0,15,1,0,0,   
157,146420,sp157,CORPK042,86,187.51,0.006885,0.025931,0.001177,48.7,4188,0.019037,0.0126,1,40,223,3,26,2,0,0,   
158,148297,sp158,CORPK142,21,186.52,0.006848,0.017384,0.001222,97.67,2051,0.010512,0.007154,1,46,193,3,35,3,1,0,   
159,145920,sp159,CORPK036,568,185.87,0.006826,0.024965,0.001911,74.71,42434,0.018111,0.001441,3,56,217,0,34,2,2,0,   
160,148243,sp160,CORPK140,4,185.25,0.006804,0.015926,0.001942,30,120,0.009143,0.00423,0,45,224,1,14,1,1,0,   
161,146646,sp161,CORPK048,5807,182.57,0.006705,0.01567,0.000526,1266.78,7356191,0.008642,0.005499,0,10,54,1,6,1,0,0,   
162,143702,sp162,CORPK001,85,181.73,0.006675,0.00832,0.000969,14.33,1218,0.001365,0.000079,0,13,265,0,7,0,0,0,   
163,143836,sp163,CORPK002,13,180.77,0.006645,0.033201,0.000759,303.38,3944,0.026516,0.020222,1,41,285,5,143,5,0,0,   
164,144038,sp164,CORPK004,15223,180.31,0.006622,0.023314,0.003497,39.98,608647,0.016475,0.004496,2,46,131,0,20,0,0,0,   
